Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,13800,171,454529,2025-04-04
TodoCode,212000,856,19969934,2025-04-04
PeladoNerd,179000,404,13308631,2025-04-04
Codigofacilito,730000,3391,100201388,2025-04-04
Platzi,1840000,2592,265169391,2025-04-04
EDteam,842000,937,67633432,2025-04-04
Soy Dalto,963000,200,54005734,2025-04-04
midudev,361000,623,33539915,2025-04-04
freeCodeCamp,10600000,1833,850264955,2025-04-04
Valen Werle,36000,146,5769749,2025-04-04
