Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,13800,171,454608,2025-04-05
TodoCode,212000,856,19978568,2025-04-05
PeladoNerd,179000,404,13310344,2025-04-05
Codigofacilito,730000,3393,100203063,2025-04-05
Platzi,1840000,2592,265194878,2025-04-05
EDteam,842000,938,67667301,2025-04-05
Soy Dalto,963000,200,54013332,2025-04-05
midudev,361000,623,33559253,2025-04-05
freeCodeCamp,10600000,1833,850421817,2025-04-05
Valen Werle,36000,146,5785622,2025-04-05
